순위,시군구,위치,학교명,학교유형,응시자수,평균,국어,영어,수학,특목고진학률,대학교진학률,진학수,졸업자수,위도,경도
9,서초구,서초구 반포동,반포중학교,중학교,277,91.1,93.5,89.9,89.9,0,,0,242,37.50626532,126.9961146
10,서초구,서초구 서초동,서초중학교,중학교,256,90.3,96.1,90.6,84.4,1.7,,4,224,37.48553868,127.0085193
11,서초구,서초구 반포동,방배중학교,중학교,152,89.7,97.4,91.4,80.3,3.1,,5,160,37.49486827,126.997827
12,서초구,서초구 방배동,동덕여자중학교,중학교,179,87.7,93.9,90,79.3,1.5,,2,129,37.47587863,126.991995
13,서초구,서초구 우면동,영동중학교,중학교,285,80.5,93.3,76.5,71.9,1.5,,4,263,37.46598629,127.0251408
14,서초구,서초구 방배동,이수중학교,중학교,212,78.9,89.2,75.9,71.7,0,,0,133,37.48063003,126.989859
15,서초구,서초구 양재동,언남중학교,중학교,184,78,90.2,73.9,70.1,0,,0,122,37.47240137,127.0442813
1,서초구,서초구 반포동,세화고등학교,고등학교,393,99.7,99.7,100,99.5,,54.9,216,393,37.50199646,126.99423
2,서초구,서초구 반포동,세화여자고등학교,고등학교,397,97.9,98.5,98.5,96.7,,50.7,196,386,37.50199646,126.99423
3,서초구,서초구 방배4동,서문여자고등학교,고등학교,450,95,97.8,97.6,89.8,,47.9,130,271,37.48891973,126.9845458
4,서초구,서초구 반포동,반포고등학교,고등학교,349,85.6,85.7,88.9,82.3,,51.1,133,260,37.50270273,127.0165603
5,서초구,서초구 방배동,동덕여자고등학교,고등학교,447,82,87.5,90.4,68.2,,50.5,145,287,37.47583666,126.991995
6,서초구,서초구 방배동,상문고등학교,고등학교,497,81.4,80.3,88.3,75.7,,49.8,183,367,37.47975543,127.0039168
7,서초구,서초구 서초동,서울고등학교,고등학교,588,77.6,74,82.3,76.5,,43.7,186,425,37.48429306,127.0049019
8,서초구,서초구 서초동,양재고등학교,고등학교,307,76,78.1,82.2,67.7,,42,119,283,37.48242164,127.0320796
9,서초구,서초구 양재동,언남고등학교,고등학교,220,72.6,73.2,76.1,68.6,,26.1,45,172,37.47233002,127.0430052
10,서초구,서초구 서초동,서초고등학교,고등학교,355,69.8,68.2,79.2,62.2,,41.2,118,286,37.48961169,127.0053782
1,성동구,성동구 응봉동,광희중학교,중학교,285,85.9,90.5,85.3,82.1,2.2,,6,272,37.55115453,127.03398
2,성동구,성동구 성수동1가,성수중학교,중학교,116,82.4,93.1,79.3,75,0,,0,88,37.54734181,127.0382534
3,성동구,성동구 행당동,무학중학교,중학교,344,80.6,90.4,77.6,73.8,3.6,,9,250,37.55768336,127.0319746
4,성동구,성동구 성수동1가,경일중학교,중학교,127,79,90.5,76.4,70.1,2,,2,97,37.54382982,127.0478683
5,성동구,성동구 옥수동,옥정중학교,중학교,236,78.9,86.9,77.2,72.6,0.5,,1,180,37.54167037,127.0129832
6,성동구,성동구 마장동,마장중학교,중학교,157,78.5,89.8,76.4,69.4,0.8,,1,116,37.56830949,127.042128
7,성동구,성동구 마장동,동마중학교,중학교,166,76.9,86.8,74.7,69.3,2.1,,3,137,37.56280251,127.0403512
